,instant,dteday,season,weathersit,temp,casual,registered
96,96,4/6/2011,2,1,16,413,2395
97,97,4/7/2011,2,1,17.9,571,2570
98,98,4/8/2011,2,2,13.8,172,1299
99,99,4/9/2011,2,2,14,879,1576
100,100,4/10/2011,2,2,17.5,1188,1707
101,101,4/11/2011,2,2,24.4,855,2493
102,102,4/12/2011,2,2,20.6,257,1777
103,103,4/13/2011,2,2,16.9,209,1953
104,104,4/14/2011,2,1,19.2,529,2738
105,105,4/15/2011,2,1,18.3,642,2484
106,106,4/16/2011,2,3,17.7,121,674
107,107,4/17/2011,2,1,18.7,1558,2186
108,108,4/18/2011,2,1,21,669,2760
109,109,4/19/2011,2,2,20.7,409,2795
110,110,4/20/2011,2,1,24.4,613,3331
111,111,4/21/2011,2,1,18.8,745,3444
112,112,4/22/2011,2,2,13.8,177,1506
113,113,4/23/2011,2,2,18.9,1462,2574
114,114,4/24/2011,2,2,23.8,1710,2481
115,115,4/25/2011,2,1,24.9,773,3300
116,116,4/26/2011,2,1,25.9,678,3722
117,117,4/27/2011,2,2,25.4,547,3325
118,118,4/28/2011,2,2,25.3,569,3489
119,119,4/29/2011,2,1,20.9,878,3717
120,120,4/30/2011,2,1,19.4,1965,3347
121,121,5/1/2011,2,2,18.5,1138,2213
122,122,5/2/2011,2,2,22.5,847,3554
123,123,5/3/2011,2,2,25.3,603,3848
124,124,5/4/2011,2,2,17,255,2378
125,125,5/5/2011,2,1,18.8,614,3819
126,126,5/6/2011,2,1,19.6,894,3714
127,127,5/7/2011,2,1,21.3,1612,3102
128,128,5/8/2011,2,1,21.7,1401,2932
129,129,5/9/2011,2,1,21.8,664,3698
130,130,5/10/2011,2,1,21.8,694,4109
131,131,5/11/2011,2,1,22.2,550,3632
132,132,5/12/2011,2,1,21.9,695,4169
133,133,5/13/2011,2,2,21,692,3413
134,134,5/14/2011,2,2,21.4,902,2507
135,135,5/15/2011,2,2,23.1,1582,2971
136,136,5/16/2011,2,1,23.7,773,3185
137,137,5/17/2011,2,2,23,678,3445
138,138,5/18/2011,2,2,22.6,536,3319
139,139,5/19/2011,2,2,21.8,735,3840
140,140,5/20/2011,2,1,22,909,4008
141,141,5/21/2011,2,1,24.7,2258,3547
142,142,5/22/2011,2,1,24.8,1576,3084
143,143,5/23/2011,2,2,25.9,836,3438
144,144,5/24/2011,2,2,27.1,659,3833
145,145,5/25/2011,2,1,27.1,740,4238
146,146,5/26/2011,2,1,29,758,3919
147,147,5/27/2011,2,1,27.9,871,3808
148,148,5/28/2011,2,1,26.9,2001,2757
149,149,5/29/2011,2,1,27.4,2355,2433
150,150,5/30/2011,2,1,30.1,1549,2549
151,151,5/31/2011,2,1,31.8,673,3309
152,152,6/1/2011,2,2,31.3,513,3461
153,153,6/2/2011,2,1,29.3,736,4232
154,154,6/3/2011,2,1,25.4,898,4414
155,155,6/4/2011,2,1,26,1869,3473
156,156,6/5/2011,2,2,26.6,1685,3221
157,157,6/6/2011,2,1,27.8,673,3875
158,158,6/7/2011,2,1,29,763,4070
159,159,6/8/2011,2,1,31.8,676,3725
160,160,6/9/2011,2,2,33.1,563,3352
161,161,6/10/2011,2,1,31,815,3771
162,162,6/11/2011,2,1,29.7,1729,3237
163,163,6/12/2011,2,1,28.4,1467,2993
164,164,6/13/2011,2,1,26,863,4157
165,165,6/14/2011,2,1,24.8,727,4164
166,166,6/15/2011,2,1,25.7,769,4411
167,167,6/16/2011,2,2,25.8,545,3222
168,168,6/17/2011,2,1,26.6,863,3981
169,169,6/18/2011,2,1,28.6,1807,3312
170,170,6/19/2011,2,2,28.7,1639,3105
171,171,6/20/2011,2,2,26,699,3311
172,172,6/21/2011,3,2,27.9,774,4061
173,173,6/22/2011,3,1,30.1,661,3846
174,174,6/23/2011,3,2,29.9,746,4044
175,175,6/24/2011,3,1,29.7,969,4022
176,176,6/25/2011,3,1,28.5,1782,3420
177,177,6/26/2011,3,1,27.9,1920,3385
178,178,6/27/2011,3,2,28,854,3854
179,179,6/28/2011,3,1,30.5,732,3916
180,180,6/29/2011,3,1,29.9,848,4377
181,181,6/30/2011,3,1,28.6,1027,4488
182,182,7/1/2011,3,1,29.6,1246,4116
183,183,7/2/2011,3,1,30.3,2204,2915
184,184,7/3/2011,3,2,29.4,2282,2367
185,185,7/4/2011,3,2,29.8,3065,2978
186,186,7/5/2011,3,1,30.6,1031,3634
187,187,7/6/2011,3,1,29.5,784,3845
188,188,7/7/2011,3,1,30.8,754,3838
189,189,7/8/2011,3,2,29.1,692,3348
190,190,7/9/2011,3,1,30.1,1988,3348
191,191,7/10/2011,3,1,30.6,1743,3138
192,192,7/11/2011,3,1,31.3,723,3363
193,193,7/12/2011,3,1,32.6,662,3596
194,194,7/13/2011,3,1,30.6,748,3594
195,195,7/14/2011,3,1,27.9,888,4196
196,196,7/15/2011,3,1,27.2,1318,4220
197,197,7/16/2011,3,1,28.2,2418,3505
198,198,7/17/2011,3,1,29.5,2006,3296
199,199,7/18/2011,3,1,30.6,841,3617
200,200,7/19/2011,3,1,31.8,752,3789
201,201,7/20/2011,3,1,31.5,644,3688
202,202,7/21/2011,3,2,33.4,632,3152
203,203,7/22/2011,3,1,34.8,562,2825
204,204,7/23/2011,3,1,34.8,987,2298
205,205,7/24/2011,3,1,34,1050,2556
206,206,7/25/2011,3,1,30.5,568,3272
207,207,7/26/2011,3,1,31.6,750,3840
208,208,7/27/2011,3,1,31.8,755,3901
209,209,7/28/2011,3,1,31.9,606,3784
210,210,7/29/2011,3,1,34.4,670,3176
211,211,7/30/2011,3,1,33,1559,2916
212,212,7/31/2011,3,1,33,1524,2778
213,213,8/1/2011,3,1,31.6,729,3537
214,214,8/2/2011,3,1,32.1,801,4044
215,215,8/3/2011,3,2,30,467,3107
216,216,8/4/2011,3,2,29.1,799,3777
217,217,8/5/2011,3,1,29.1,1023,3843
218,218,8/6/2011,3,2,29.4,1521,2773
219,219,8/7/2011,3,1,30.4,1298,2487
220,220,8/8/2011,3,1,31.4,846,3480
221,221,8/9/2011,3,1,31.8,907,3695
222,222,8/10/2011,3,1,31.4,884,3896
223,223,8/11/2011,3,1,29.4,812,3980
224,224,8/12/2011,3,1,29,1051,3854
225,225,8/13/2011,3,2,28.1,1504,2646
226,226,8/14/2011,3,2,27.7,1338,2482
227,227,8/15/2011,3,1,27.3,775,3563
228,228,8/16/2011,3,1,28.7,721,4004
229,229,8/17/2011,3,1,29.7,668,4026
230,230,8/18/2011,3,1,29.2,639,3166
231,231,8/19/2011,3,2,28.1,797,3356
232,232,8/20/2011,3,1,28.6,1914,3277
233,233,8/21/2011,3,1,29.1,1249,2624
234,234,8/22/2011,3,1,28.4,833,3925
235,235,8/23/2011,3,1,26.3,1281,4614
236,236,8/24/2011,3,1,27.6,949,4181
237,237,8/25/2011,3,2,28.1,435,3107
238,238,8/26/2011,3,1,28.7,768,3893
239,239,8/27/2011,3,2,27.9,226,889
240,240,8/28/2011,3,1,29,1415,2919
241,241,8/29/2011,3,1,26.1,729,3905
242,242,8/30/2011,3,1,26.2,775,4429
243,243,8/31/2011,3,1,26.9,688,4370
244,244,9/1/2011,3,1,26.9,783,4332
245,245,9/2/2011,3,2,26.4,875,3852
246,246,9/3/2011,3,1,27.4,1935,2549
247,247,9/4/2011,3,1,29.1,2521,2419
248,248,9/5/2011,3,2,27.6,1236,2115
249,249,9/6/2011,3,3,22.1,204,2506
250,250,9/7/2011,3,3,24.6,118,1878
251,251,9/8/2011,3,3,26,153,1689
252,252,9/9/2011,3,2,26.7,417,3127
253,253,9/10/2011,3,1,27.1,1750,3595
254,254,9/11/2011,3,1,26.8,1633,3413
255,255,9/12/2011,3,1,26.4,690,4023
256,256,9/13/2011,3,1,26.7,701,4062
257,257,9/14/2011,3,1,27.6,647,4138
258,258,9/15/2011,3,2,23.7,428,3231
259,259,9/16/2011,3,2,19.2,742,4018
260,260,9/17/2011,3,2,20.2,1434,3077
261,261,9/18/2011,3,1,20.8,1353,2921
262,262,9/19/2011,3,2,22.5,691,3848
263,263,9/20/2011,3,2,23,438,3203
264,264,9/21/2011,3,2,24.4,539,3813
265,265,9/22/2011,3,2,25.8,555,4240
266,266,9/23/2011,4,2,25,258,2137
267,267,9/24/2011,4,2,24.9,1776,3647
268,268,9/25/2011,4,2,26,1544,3466
269,269,9/26/2011,4,2,26.6,684,3946
270,270,9/27/2011,4,2,26.1,477,3643
271,271,9/28/2011,4,2,26,480,3427
272,272,9/29/2011,4,1,25.3,653,4186
273,273,9/30/2011,4,1,23.1,830,4372
274,274,10/1/2011,4,2,16.8,480,1949
275,275,10/2/2011,4,2,14.6,616,2302
276,276,10/3/2011,4,2,15.8,330,3240
277,277,10/4/2011,4,1,19.9,486,3970
278,278,10/5/2011,4,1,22.1,559,4267
279,279,10/6/2011,4,1,20.3,639,4126
280,280,10/7/2011,4,1,20.9,949,4036
281,281,10/8/2011,4,1,21.4,2235,3174
282,282,10/9/2011,4,1,22.2,2397,3114
283,283,10/10/2011,4,1,23.4,1514,3603
284,284,10/11/2011,4,2,23.2,667,3896
285,285,10/12/2011,4,3,22.3,217,2199
286,286,10/13/2011,4,2,24.2,290,2623
287,287,10/14/2011,4,2,22.6,529,3115
288,288,10/15/2011,4,1,20.8,1899,3318
289,289,10/16/2011,4,1,21,1748,3293
290,290,10/17/2011,4,1,21.9,713,3857
291,291,10/18/2011,4,2,21.8,637,4111
292,292,10/19/2011,4,3,22.2,254,2170
293,293,10/20/2011,4,1,19.5,471,3724
294,294,10/21/2011,4,1,17.5,676,3628
295,295,10/22/2011,4,1,17.3,1499,2809
296,296,10/23/2011,4,1,17.3,1619,2762
297,297,10/24/2011,4,1,19,699,3488
298,298,10/25/2011,4,1,19.3,695,3992
299,299,10/26/2011,4,2,19.9,404,3490
300,300,10/27/2011,4,2,19.3,240,2419
301,301,10/28/2011,4,2,13.6,456,3291
302,302,10/29/2011,4,3,10.4,57,570
303,303,10/30/2011,4,1,13.1,885,2446
304,304,10/31/2011,4,1,13.9,362,3307
305,305,11/1/2011,4,1,16.4,410,3658
306,306,11/2/2011,4,1,15.5,370,3816
307,307,11/3/2011,4,1,16.7,318,3656
308,308,11/4/2011,4,2,16.5,470,3576
309,309,11/5/2011,4,1,13.4,1156,2770
310,310,11/6/2011,4,1,14.3,952,2697
311,311,11/7/2011,4,1,16.2,373,3662
312,312,11/8/2011,4,1,16.7,376,3829
313,313,11/9/2011,4,1,16.4,305,3804
