"X","instant","dteday","season","weathersit","temp","casual","registered","total_user","low_usage"
96,96,"2011-04-06",2,1,16,413,2395,2808,0
97,97,"2011-04-07",2,1,17.9,571,2570,3141,0
98,98,"2011-04-08",2,2,13.8,172,1299,1471,1
99,99,"2011-04-09",2,2,14,879,1576,2455,0
100,100,"2011-04-10",2,2,17.5,1188,1707,2895,0
101,101,"2011-04-11",2,2,24.4,855,2493,3348,0
102,102,"2011-04-12",2,2,20.6,257,1777,2034,1
103,103,"2011-04-13",2,2,16.9,209,1953,2162,1
104,104,"2011-04-14",2,1,19.2,529,2738,3267,0
105,105,"2011-04-15",2,1,18.3,642,2484,3126,0
106,106,"2011-04-16",2,3,17.7,121,674,795,1
107,107,"2011-04-17",2,1,18.7,1558,2186,3744,0
108,108,"2011-04-18",2,1,21,669,2760,3429,0
109,109,"2011-04-19",2,2,20.7,409,2795,3204,0
110,110,"2011-04-20",2,1,24.4,613,3331,3944,0
111,111,"2011-04-21",2,1,18.8,745,3444,4189,0
112,112,"2011-04-22",2,2,13.8,177,1506,1683,1
113,113,"2011-04-23",2,2,18.9,1462,2574,4036,0
114,114,"2011-04-24",2,2,23.8,1710,2481,4191,0
115,115,"2011-04-25",2,1,24.9,773,3300,4073,0
116,116,"2011-04-26",2,1,25.9,678,3722,4400,0
117,117,"2011-04-27",2,2,25.4,547,3325,3872,0
118,118,"2011-04-28",2,2,25.3,569,3489,4058,0
119,119,"2011-04-29",2,1,20.9,878,3717,4595,0
120,120,"2011-04-30",2,1,19.4,1965,3347,5312,0
121,121,"2011-05-01",2,2,18.5,1138,2213,3351,0
122,122,"2011-05-02",2,2,22.5,847,3554,4401,0
123,123,"2011-05-03",2,2,25.3,603,3848,4451,0
124,124,"2011-05-04",2,2,17,255,2378,2633,0
125,125,"2011-05-05",2,1,18.8,614,3819,4433,0
126,126,"2011-05-06",2,1,19.6,894,3714,4608,0
127,127,"2011-05-07",2,1,21.3,1612,3102,4714,0
128,128,"2011-05-08",2,1,21.7,1401,2932,4333,0
129,129,"2011-05-09",2,1,21.8,664,3698,4362,0
130,130,"2011-05-10",2,1,21.8,694,4109,4803,0
131,131,"2011-05-11",2,1,22.2,550,3632,4182,0
132,132,"2011-05-12",2,1,21.9,695,4169,4864,0
133,133,"2011-05-13",2,2,21,692,3413,4105,0
134,134,"2011-05-14",2,2,21.4,902,2507,3409,0
135,135,"2011-05-15",2,2,23.1,1582,2971,4553,0
136,136,"2011-05-16",2,1,23.7,773,3185,3958,0
137,137,"2011-05-17",2,2,23,678,3445,4123,0
138,138,"2011-05-18",2,2,22.6,536,3319,3855,0
139,139,"2011-05-19",2,2,21.8,735,3840,4575,0
140,140,"2011-05-20",2,1,22,909,4008,4917,0
141,141,"2011-05-21",2,1,24.7,2258,3547,5805,0
142,142,"2011-05-22",2,1,24.8,1576,3084,4660,0
143,143,"2011-05-23",2,2,25.9,836,3438,4274,0
144,144,"2011-05-24",2,2,27.1,659,3833,4492,0
145,145,"2011-05-25",2,1,27.1,740,4238,4978,0
146,146,"2011-05-26",2,1,29,758,3919,4677,0
147,147,"2011-05-27",2,1,27.9,871,3808,4679,0
148,148,"2011-05-28",2,1,26.9,2001,2757,4758,0
149,149,"2011-05-29",2,1,27.4,2355,2433,4788,0
150,150,"2011-05-30",2,1,30.1,1549,2549,4098,0
151,151,"2011-05-31",2,1,31.8,673,3309,3982,0
152,152,"2011-06-01",2,2,31.3,513,3461,3974,0
153,153,"2011-06-02",2,1,29.3,736,4232,4968,0
154,154,"2011-06-03",2,1,25.4,898,4414,5312,0
155,155,"2011-06-04",2,1,26,1869,3473,5342,0
156,156,"2011-06-05",2,2,26.6,1685,3221,4906,0
157,157,"2011-06-06",2,1,27.8,673,3875,4548,0
158,158,"2011-06-07",2,1,29,763,4070,4833,0
159,159,"2011-06-08",2,1,31.8,676,3725,4401,0
160,160,"2011-06-09",2,2,33.1,563,3352,3915,0
161,161,"2011-06-10",2,1,31,815,3771,4586,0
162,162,"2011-06-11",2,1,29.7,1729,3237,4966,0
163,163,"2011-06-12",2,1,28.4,1467,2993,4460,0
164,164,"2011-06-13",2,1,26,863,4157,5020,0
165,165,"2011-06-14",2,1,24.8,727,4164,4891,0
166,166,"2011-06-15",2,1,25.7,769,4411,5180,0
167,167,"2011-06-16",2,2,25.8,545,3222,3767,0
168,168,"2011-06-17",2,1,26.6,863,3981,4844,0
169,169,"2011-06-18",2,1,28.6,1807,3312,5119,0
170,170,"2011-06-19",2,2,28.7,1639,3105,4744,0
171,171,"2011-06-20",2,2,26,699,3311,4010,0
172,172,"2011-06-21",3,2,27.9,774,4061,4835,0
173,173,"2011-06-22",3,1,30.1,661,3846,4507,0
174,174,"2011-06-23",3,2,29.9,746,4044,4790,0
175,175,"2011-06-24",3,1,29.7,969,4022,4991,0
176,176,"2011-06-25",3,1,28.5,1782,3420,5202,0
177,177,"2011-06-26",3,1,27.9,1920,3385,5305,0
178,178,"2011-06-27",3,2,28,854,3854,4708,0
179,179,"2011-06-28",3,1,30.5,732,3916,4648,0
180,180,"2011-06-29",3,1,29.9,848,4377,5225,0
181,181,"2011-06-30",3,1,28.6,1027,4488,5515,0
182,182,"2011-07-01",3,1,29.6,1246,4116,5362,0
183,183,"2011-07-02",3,1,30.3,2204,2915,5119,0
184,184,"2011-07-03",3,2,29.4,2282,2367,4649,0
185,185,"2011-07-04",3,2,29.8,3065,2978,6043,0
186,186,"2011-07-05",3,1,30.6,1031,3634,4665,0
187,187,"2011-07-06",3,1,29.5,784,3845,4629,0
188,188,"2011-07-07",3,1,30.8,754,3838,4592,0
189,189,"2011-07-08",3,2,29.1,692,3348,4040,0
190,190,"2011-07-09",3,1,30.1,1988,3348,5336,0
191,191,"2011-07-10",3,1,30.6,1743,3138,4881,0
192,192,"2011-07-11",3,1,31.3,723,3363,4086,0
193,193,"2011-07-12",3,1,32.6,662,3596,4258,0
194,194,"2011-07-13",3,1,30.6,748,3594,4342,0
195,195,"2011-07-14",3,1,27.9,888,4196,5084,0
196,196,"2011-07-15",3,1,27.2,1318,4220,5538,0
197,197,"2011-07-16",3,1,28.2,2418,3505,5923,0
198,198,"2011-07-17",3,1,29.5,2006,3296,5302,0
199,199,"2011-07-18",3,1,30.6,841,3617,4458,0
200,200,"2011-07-19",3,1,31.8,752,3789,4541,0
201,201,"2011-07-20",3,1,31.5,644,3688,4332,0
202,202,"2011-07-21",3,2,33.4,632,3152,3784,0
203,203,"2011-07-22",3,1,34.8,562,2825,3387,0
204,204,"2011-07-23",3,1,34.8,987,2298,3285,0
205,205,"2011-07-24",3,1,34,1050,2556,3606,0
206,206,"2011-07-25",3,1,30.5,568,3272,3840,0
207,207,"2011-07-26",3,1,31.6,750,3840,4590,0
208,208,"2011-07-27",3,1,31.8,755,3901,4656,0
209,209,"2011-07-28",3,1,31.9,606,3784,4390,0
210,210,"2011-07-29",3,1,34.4,670,3176,3846,0
211,211,"2011-07-30",3,1,33,1559,2916,4475,0
212,212,"2011-07-31",3,1,33,1524,2778,4302,0
213,213,"2011-08-01",3,1,31.6,729,3537,4266,0
214,214,"2011-08-02",3,1,32.1,801,4044,4845,0
