"X","instant","dteday","season","weathersit","temp","casual","registered","total_user"
96,96,"2011-04-06",2,1,16,413,2395,2808
97,97,"2011-04-07",2,1,17.9,571,2570,3141
98,98,"2011-04-08",2,2,13.8,172,1299,1471
99,99,"2011-04-09",2,2,14,879,1576,2455
100,100,"2011-04-10",2,2,17.5,1188,1707,2895
101,101,"2011-04-11",2,2,24.4,855,2493,3348
102,102,"2011-04-12",2,2,20.6,257,1777,2034
103,103,"2011-04-13",2,2,16.9,209,1953,2162
104,104,"2011-04-14",2,1,19.2,529,2738,3267
105,105,"2011-04-15",2,1,18.3,642,2484,3126
106,106,"2011-04-16",2,3,17.7,121,674,795
107,107,"2011-04-17",2,1,18.7,1558,2186,3744
108,108,"2011-04-18",2,1,21,669,2760,3429
109,109,"2011-04-19",2,2,20.7,409,2795,3204
110,110,"2011-04-20",2,1,24.4,613,3331,3944
111,111,"2011-04-21",2,1,18.8,745,3444,4189
112,112,"2011-04-22",2,2,13.8,177,1506,1683
113,113,"2011-04-23",2,2,18.9,1462,2574,4036
114,114,"2011-04-24",2,2,23.8,1710,2481,4191
115,115,"2011-04-25",2,1,24.9,773,3300,4073
116,116,"2011-04-26",2,1,25.9,678,3722,4400
117,117,"2011-04-27",2,2,25.4,547,3325,3872
118,118,"2011-04-28",2,2,25.3,569,3489,4058
119,119,"2011-04-29",2,1,20.9,878,3717,4595
120,120,"2011-04-30",2,1,19.4,1965,3347,5312
121,121,"2011-05-01",2,2,18.5,1138,2213,3351
122,122,"2011-05-02",2,2,22.5,847,3554,4401
123,123,"2011-05-03",2,2,25.3,603,3848,4451
124,124,"2011-05-04",2,2,17,255,2378,2633
125,125,"2011-05-05",2,1,18.8,614,3819,4433
126,126,"2011-05-06",2,1,19.6,894,3714,4608
127,127,"2011-05-07",2,1,21.3,1612,3102,4714
128,128,"2011-05-08",2,1,21.7,1401,2932,4333
129,129,"2011-05-09",2,1,21.8,664,3698,4362
130,130,"2011-05-10",2,1,21.8,694,4109,4803
131,131,"2011-05-11",2,1,22.2,550,3632,4182
132,132,"2011-05-12",2,1,21.9,695,4169,4864
133,133,"2011-05-13",2,2,21,692,3413,4105
134,134,"2011-05-14",2,2,21.4,902,2507,3409
135,135,"2011-05-15",2,2,23.1,1582,2971,4553
136,136,"2011-05-16",2,1,23.7,773,3185,3958
137,137,"2011-05-17",2,2,23,678,3445,4123
138,138,"2011-05-18",2,2,22.6,536,3319,3855
139,139,"2011-05-19",2,2,21.8,735,3840,4575
140,140,"2011-05-20",2,1,22,909,4008,4917
141,141,"2011-05-21",2,1,24.7,2258,3547,5805
142,142,"2011-05-22",2,1,24.8,1576,3084,4660
143,143,"2011-05-23",2,2,25.9,836,3438,4274
144,144,"2011-05-24",2,2,27.1,659,3833,4492
145,145,"2011-05-25",2,1,27.1,740,4238,4978
146,146,"2011-05-26",2,1,29,758,3919,4677
147,147,"2011-05-27",2,1,27.9,871,3808,4679
148,148,"2011-05-28",2,1,26.9,2001,2757,4758
